dset	format	protocol	real	user	sys	notes	blockCnt	baseCnt	date
10plusway-mapq	hdf5_gzip2	udc	48.22	46.42	0.46	libcurl	13682	233005	2019-01-02
10plusway-mapq	hdf5_uncmp	udc	50.09	48.19	0.55	libcurl	13682	233005	2019-01-02
10plusway-mapq	mmap	udc	138.82	59.88	70.87	libcurl	13682	233005	2019-01-02
10plusway-mapq	hdf5_gzip2	udc	8.17	6.37	0.45	mmap udc bits	13682	233005	2019-01-03
10plusway-mapq	hdf5_uncmp	udc	7.98	6.16	0.47	mmap udc bits	13682	233005	2019-01-03
10plusway-mapq	mmap	udc	28.88	16.41	4.01	mmap udc bits	13682	233005	2019-01-03
10plusway-mapq	hdf5_gzip2	udc	8.17	6.32	0.49	no udc big split	13682	233005	2019-01-03
10plusway-mapq	hdf5_uncmp	udc	8.21	6.29	0.55	no udc big split	13682	233005	2019-01-03
10plusway-mapq	mmap	udc	13.44	7.77	3.20	no udc big split	13682	233005	2019-01-03
