dset	format	protocol	readCnt	totalRead	minRead	maxRead	medianRead	reopenCnt	skipCnt	notes	date
10plusway-mapq	hdf5_gzip2	udc	1574	19374080	8192	16384	16384	1544	12	master	2018-12-08
10plusway-mapq	hdf5_uncmp	udc	1597	42860544	8192	57344	32768	1545	19	master	2018-12-09
10plusway-mapq	hdf5_gzip2	udc	1574	19374080	8192	16384	16384	1543	12	baseline	2018-12-09
10plusway-mapq	hdf5_uncmp	udc	1597	42860544	8192	57344	32768	1544	19	baseline	2018-12-09
10plusway-mapq	mmap	udc	10069	1928192000	8192	270336	262144	2778	2	baseline	2018-12-09

